Month,Load,life_decrement(In Hrs)
2000-01-02,1410.5589828023255,2.27
2000-01-03,1643.9928875026558,2.35
2000-01-04,1609.4297583783627,2.34
2000-01-05,1679.8708209112103,2.36
2000-01-06,1758.484317648587,2.38
2000-01-07,1573.3305814073046,2.33
2000-01-08,1515.6349792663511,2.31
2000-01-09,1340.407920148671,2.24
2000-01-10,1558.0244507251907,2.32
2000-01-11,1510.4696071447108,2.3
2000-01-12,1571.0885697772228,2.32
2001-01-01,1635.297815386971,2.34
2001-01-02,1604.8136512981291,2.34
2001-01-03,1679.0886966941634,2.36
2001-01-04,1761.1869190689454,2.38
2001-01-05,1579.0745912486827,2.33
2001-01-06,1523.8956980262096,2.31
2001-01-07,1350.5940504449318,2.24
2001-01-08,1569.494576678163,2.32
2001-01-09,1522.549803606936,2.31
2001-01-10,1583.0910904813013,2.33
2001-01-11,1654.5471546956594,2.35
2001-01-12,1465.1627119056443,2.29
2002-01-01,1595.034458808862,2.33
2002-01-02,1673.4323742819417,2.36
2002-01-03,1759.4358321835664,2.38
2002-01-04,1580.90469688141,2.33
2002-01-05,1528.886096011545,2.31
2002-01-06,1358.2390764605507,2.25
2002-01-07,1579.2180965838666,2.33
2002-01-08,1533.7214194532635,2.31
2002-01-09,1595.0433755497713,2.33
2002-01-10,1666.5940915540725,2.35
2002-01-11,1476.618394626252,2.29
2002-01-12,1416.464176311584,2.27
2003-01-01,1662.6009303107467,2.35
2003-01-02,1752.7642952484675,2.38
2003-01-03,1578.2032021013183,2.33
2003-01-04,1529.856412884544,2.31
2003-01-05,1362.4834793521654,2.25
2003-01-06,1586.2508517031667,2.33
2003-01-07,1542.9825641421596,2.32
2003-01-08,1605.9144046960098,2.34
2003-01-09,1678.415115746816,2.36
2003-01-10,1488.7062966559606,2.3
2003-01-11,1428.1312678057893,2.27
2003-01-12,1251.7721948313915,2.2
2004-01-01,1740.8765212789597,2.37
2004-01-02,1570.5051002036275,2.32
2004-01-03,1526.1862637103895,2.31
2004-01-04,1362.5694205577327,2.25
2004-01-05,1589.7190517108897,2.33
2004-01-06,1549.3680827864184,2.32
2004-01-07,1614.6744333365486,2.34
2004-01-08,1688.9442259538007,2.36
2004-01-09,1500.3532735475255,2.3
2004-01-10,1440.2170629323077,2.28
2004-01-11,1263.6085053252984,2.2
2004-01-12,1480.936036578889,2.29
2005-01-01,1517.4514639761528,2.31
2005-01-02,1357.913585860571,2.25
2005-01-03,1588.897199877606,2.33
2005-01-04,1552.030956588147,2.32
2005-01-05,1620.3787155553302,2.34
2005-01-06,1697.1652170893367,2.36
2005-01-07,1510.4996762154992,2.3
2005-01-08,1451.647461252221,2.28
2005-01-09,1275.649083291446,2.21
2005-01-10,1492.8990479229285,2.3
2005-01-11,1445.3907556150396,2.28
2005-01-12,1506.4665087537553,2.3
2006-01-01,1348.1337367232034,2.24
2006-01-02,1583.2403299460623,2.33
2006-01-03,1550.2794313177005,2.32
2006-01-04,1622.2084919372946,2.34
2006-01-05,1702.1553949574457,2.36
2006-01-06,1518.14459124768,2.31
2006-01-07,1461.3709793086853,2.29
2006-01-08,1286.820697281119,2.21
2006-01-09,1504.8513311272475,2.3
2006-01-10,1457.4376906024274,2.29
2006-01-11,1517.9221895958142,2.31
2006-01-12,1589.7334751714172,2.33
2007-01-01,1572.4088816555443,2.33
2007-01-02,1543.607890063672,2.32
2007-01-03,1619.5069928386608,2.34
2007-01-04,1703.1257075123513,2.36
2007-01-05,1522.3889898219372,2.31
2007-01-06,1468.4037301116098,2.29
2007-01-07,1296.0818376547277,2.22
2007-01-08,1515.7223559599133,2.31
2007-01-09,1469.258710481528,2.29
2007-01-10,1530.010087313446,2.31
2007-01-11,1601.4005623545265,2.33
2007-01-12,1411.6777052223779,2.27
2008-01-01,1531.7201120552224,2.31
2008-01-02,1611.8088869027197,2.34
2008-01-03,1699.4555543006506,2.36
2008-01-04,1522.4749269909212,2.31
2008-01-05,1471.8719260822843,2.29
2008-01-06,1302.4673522619576,2.22
2008-01-07,1524.4823805625356,2.31
2008-01-08,1479.787816651307,2.29
2008-01-09,1541.6570601677138,2.32
2008-01-10,1613.486353442339,2.34
2008-01-11,1423.5140116768953,2.27
2008-01-12,1363.0889108686042,2.25
2009-01-01,1690.7207501264008,2.36
2009-01-02,1517.8190878529826,2.31
2009-01-03,1471.0500698082546,2.29
2009-01-04,1305.1302216255974,2.22
2009-01-05,1530.186658348329,2.31
2009-01-06,1488.008803356069,2.3
2009-01-07,1551.803458408727,2.32
2009-01-08,1624.9167473397933,2.34
2009-01-09,1435.5545852236726,2.28
2009-01-10,1375.0519177958051,2.25
2009-01-11,1198.4900205928159,2.17
2009-01-12,1416.2744514850042,2.27
2010-01-01,1508.039235233672,2.3
2010-01-02,1465.393196404404,2.29
2010-01-03,1303.3786928884435,2.22
2010-01-04,1532.0164312685765,2.31
2010-01-05,1492.998977768063,2.3
2010-01-06,1559.4483699904838,2.32
2010-01-07,1634.6402619516139,2.34
2010-01-08,1446.7404562760155,2.28
2010-01-09,1387.0327185700166,2.26
2010-01-10,1210.5797336576525,2.18
2010-01-11,1427.78717091161,2.27
2010-01-12,1380.648360467172,2.26
2011-01-01,1459.6812666550557,2.29
2011-01-02,1301.8409306754916,2.22
2011-01-03,1534.4629717102787,2.31
2011-01-04,1499.1315903632772,2.3
2011-01-05,1568.869329104722,2.32
2011-01-06,1646.8920265299485,2.35
2011-01-07,1461.2488031617695,2.29
2011-01-08,1403.1791426510079,2.26
2011-01-09,1227.704345521268,2.18
2011-01-10,1445.2068533500963,2.28
2011-01-11,1397.6754251065227,2.26
2011-01-12,1458.455217142813,2.29
2012-01-01,1305.3215515904712,2.22
2012-01-02,1542.1614574343707,2.32
2012-01-03,1510.8862215482595,2.3
2012-01-04,1584.4082434064144,2.33
2012-01-05,1665.8519409763126,2.35
2012-01-06,1483.1647775860258,2.3
2012-01-07,1427.5083684127242,2.27
2012-01-08,1253.8413941922208,2.2
2012-01-09,1472.5005100475255,2.29
2012-01-10,1425.4466413807042,2.27
2012-01-11,1486.0156901264843,2.3
2012-01-12,1557.6372877968934,2.32
2013-01-01,1531.667501996614,2.31
2013-01-02,1609.3072302337837,2.34
2013-01-03,1694.584910667991,2.36
2013-01-04,1515.3824729168591,2.31
2013-01-05,1462.767472166366,2.29
2013-01-06,1291.6172068657334,2.22
2013-01-07,1512.2017342580118,2.31
2013-01-08,1466.4318612479021,2.29
2013-01-09,1527.6110896445675,2.31
2013-01-10,1599.155120697815,2.33
2013-01-11,1409.3106339277094,2.27
2013-01-12,1349.4236273489216,2.24
2014-01-01,1629.0822042556338,2.34
2014-01-02,1718.4828639076425,2.37
2014-01-03,1543.185770824681,2.32
2014-01-04,1494.1520717336332,2.3
2014-01-05,1326.1622079265064,2.23
2014-01-06,1549.4014724906233,2.32
2014-01-07,1505.710202512051,2.3
2014-01-08,1568.337526848675,2.32
2014-01-09,1640.662227124123,2.35
2014-01-10,1450.9123921447292,2.28
2014-01-11,1390.4341314276755,2.26
2014-01-12,1214.3086501765774,2.18
2015-01-01,1737.2062413388915,2.37
2015-01-02,1566.0690552924675,2.32
2015-01-03,1521.005398356161,2.31
2015-01-04,1356.6873462025756,2.25
2015-01-05,1583.2006967854159,2.33
2015-01-06,1542.297779034824,2.32
2015-01-07,1607.1534929427683,2.34
2015-01-08,1681.088077676428,2.36
2015-01-09,1492.2882377434216,2.3
2015-01-10,1432.0768548642377,2.28
2015-01-11,1255.5305630777848,2.2
2015-01-12,1473.0577742187857,2.29
2016-01-01,1583.736102950504,2.33
2016-01-02,1542.8621180865375,2.32
2016-01-03,1382.5720186572314,2.26
2016-01-04,1612.8414596205569,2.34
2016-01-05,1575.3208006722352,2.33
2016-01-06,1643.0938332153212,2.35
2016-01-07,1719.402927944466,2.37
2016-01-08,1532.372169578313,2.31
2016-01-09,1473.2786533839667,2.29
2016-01-10,1297.1711798316446,2.22
2016-01-11,1514.4489063404576,2.31
2016-01-12,1467.1061474928133,2.29
2017-01-01,1403.3920404478843,2.26
2017-01-02,1637.7404464482363,2.35
